name;competence;willingness;action
Alice;0.5;0.5;remove
Alice;0.55;0.5;rescue
Alice;0.5;0.55;search
ben;-1;-1;remove
ben;-1;-1;rescue
ben;-1;-1;search
ben;-1;-1;remove
ben;-1;-1;rescue
ben;-1;-1;search
ben;-1;-1;remove
ben;-1;-1;rescue
ben;-1;-1;search
ben;-1;-1;remove
ben;-1;-1;rescue
ben;-1;-1;search
ben;-1;-1;remove
ben;-1;-1;rescue
ben;-1;-1;search
ben;-1;-1;remove
ben;-1;-1;rescue
ben;-1;-1;search
ben;-1;-1;remove
ben;-1;-1;rescue
ben;-1;-1;search
ben;1;1;remove
ben;1;1;rescue
ben;1;1;search
ben;1;1;remove
ben;1;1;rescue
ben;1;1;search
ben;1;1;remove
ben;1;1;rescue
ben;1;1;search
ben;1;1;remove
ben;1;1;rescue
ben;1;1;search
Ben;0.5;0.5;remove
Ben;0.5;0.5;rescue
Ben;0.5;0.5;search
Ben;0.39999999999999997;0.5;remove
Ben;0.5;0.5;rescue
Ben;0.10000000000000003;0.35;search
Ben;0.39999999999999997;0.5;remove
Ben;0.5;0.5;rescue
Ben;0.10000000000000003;0.35;search
Ben;0.39999999999999997;0.5;remove
Ben;0.5;0.5;rescue
Ben;0.10000000000000003;0.35;search
Ben;0.39999999999999997;0.6400000000000002;remove
Ben;0.7;0.45;rescue
Ben;0.15000000000000002;0.5299999999999999;search
Ben;1.0;0.6900000000000003;remove
Ben;0.8999999999999999;0.36500000000000005;rescue
Ben;-0.35;0.37499999999999994;searchBen;1.0;0.8400000000000004;remove
Ben;0.8999999999999999;0.2950000000000001;rescue
Ben;-0.75;0.32499999999999984;search
Ben;1.0;0.8400000000000004;remove
Ben;0.8999999999999999;0.2950000000000001;rescue
Ben;-0.75;0.32499999999999984;search
Ben;1.0;0.8400000000000004;remove
Ben;0.8999999999999999;0.21000000000000013;rescue
Ben;-0.7;0.2999999999999998;search
Ben;1.0;0.8400000000000004;remove
Ben;0.8999999999999999;0.21000000000000013;rescue
Ben;-1.0;0.19999999999999982;search
Ben;1.0;0.8400000000000004;remove
Ben;0.8999999999999999;0.21000000000000013;rescue
Ben;-1.0;0.19999999999999982;search
Ben;1.0;0.8400000000000004;remove
Ben;0.8999999999999999;0.16000000000000014;rescue
Ben;-1.0;0.19999999999999982;search
Ben;1.0;0.9400000000000005;remove
Ben;0.9999999999999999;0.13500000000000018;rescue
Ben;-0.9999999999999999;0.0949999999999998;search
Ben;1.0;0.9400000000000005;remove
Ben;0.9999999999999999;0.13500000000000018;rescue
Ben;-0.9;0.0949999999999998;search
Ben;0.95;0.9400000000000005;remove
Ben;1.0;0.13500000000000018;rescue
Ben;-0.85;0.06999999999999981;search
Ben;0.8999999999999999;0.9400000000000005;remove
Ben;1.0;0.13500000000000018;rescue
Ben;-0.85;0.06999999999999981;search
Ben;0.8999999999999999;0.9400000000000005;remove
Ben;1.0;0.13500000000000018;rescue
Ben;-0.85;0.06999999999999981;search
Ben;0.7999999999999998;1.0;remove
Ben;1.0;0.03500000000000017;rescue
Ben;-1.0;0.1699999999999998;search
Ben;0.7999999999999998;1.0;remove
Ben;1.0;0.03500000000000017;rescue
Ben;-1.0;0.1699999999999998;search
Ben;0.7999999999999998;1.0;remove
Ben;1.0;0.03500000000000017;rescue
Ben;-1.0;0.1699999999999998;search
Ben;0.7999999999999998;0.94;remove
Ben;1.0;0.10500000000000019;rescue
Ben;-0.95;0.19999999999999982;search
Ben;0.8999999999999999;0.99;remove
Ben;1.0;0.020000000000000198;rescue
Ben;-0.9;0.17499999999999982;search
Ben;0.7999999999999998;1.0;remove
Ben;1.0;0.020000000000000198;rescue
Ben;-0.9;0.2249999999999998;search
Ben;1.0;1.0;remove
Ben;1.0;0.020000000000000198;rescue
Ben;-1.0;0.2249999999999998;search
Charlie;0.5;0.4;remove
Charlie;0.5;0.41500000000000004;rescue
Charlie;0.5;0.5;search
Charlie;0.6000000000000001;0.35;remove
Charlie;0.5;0.45;rescue
Charlie;0.55;0.475;search
Charlie;0.4;0.6000000000000001;remove
Charlie;0.5;0.5;rescue
Charlie;0.5;0.6000000000000001;search
Charlie;0.4;0.6500000000000001;remove
Charlie;0.5;0.41500000000000004;rescue
Charlie;0.5;0.6500000000000001;search
Charlie;0.8;0.6900000000000003;remove
Charlie;0.2;0.3000000000000002;rescue;
Charlie;0.6;0.44999999999999996;search
Charlie;0.25;0.7000000000000002;remove
Charlie;0.5;0.41500000000000004;rescue
Charlie;0.5;0.7500000000000002;search
Charlie;0.7500000000000002;0.8900000000000007;remove
Charlie;-0.45;-0.1000000000000002;rescue;
Charlie;0.4;069999999999999886;search
Charlie;0.2;0.7500000000000002;remove
Charlie;0.5;0.41500000000000004;rescue
Charlie;0.5;0.8000000000000003;search
Charlie;0.15000000000000002;0.6500000000000002;remove
Charlie;0.5;0.36500000000000005;rescue
Charlie;0.5;0.8500000000000003;search
Charlie;0.10000000000000002;0.7000000000000003;remove
Charlie;0.5;0.36500000000000005;rescue
Charlie;0.5;0.9000000000000004;search
Charlie;0.10000000000000002;0.7000000000000003;remove
Charlie;0.5;0.2800000000000001;rescue
Charlie;0.5;0.9000000000000004;search
Charlie;0.05000000000000002;0.7750000000000004;remove
Charlie;0.5;0.3050000000000001;rescue
Charlie;0.5;1.0;search
Charlie;0.8500000000000002;0.8999999999999945;remove
Charlie;-0.65;-0.499999999999992;rescue;
Charlie;0.2;07999999999999965;search
